
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-04 17:08:00 /manifest.json ....................................................................... ~ 0.33ms
  2026-04-04 17:09:26 /admin/login ......................................................................... ~ 0.53ms
  2026-04-04 17:09:26 /admin ............................................................................. ~ 507.88ms
  2026-04-04 17:09:27 /css/app.css ......................................................................... ~ 0.32ms
  2026-04-04 17:09:27 /images/logo-sidebar.png ............................................................. ~ 0.35ms
  2026-04-04 17:09:27 /js/pwa.js .......................................................................... ~ 19.91ms
  2026-04-04 17:09:30 /logout .............................................................................. ~ 2.17ms
  2026-04-04 17:09:30 /admin/login ....................................................................... ~ 552.93ms
  2026-04-04 17:09:30 /css/app.css ......................................................................... ~ 0.31ms
  2026-04-04 17:09:30 /js/pwa.js ........................................................................... ~ 0.35ms
  2026-04-04 17:09:30 /manifest.json ...................................................................... ~ 28.77ms
  2026-04-04 17:10:20 /admin/login ....................................................................... ~ 505.38ms
  2026-04-04 17:10:20 /admin ............................................................................. ~ 517.26ms
  2026-04-04 17:10:21 /css/app.css ......................................................................... ~ 0.35ms
  2026-04-04 17:10:21 /images/logo-sidebar.png ............................................................ ~ 28.56ms
  2026-04-04 17:10:21 /js/pwa.js .......................................................................... ~ 48.43ms
  2026-04-04 17:10:24 /internal/api-keys ....................................................................... ~ 1s
  2026-04-04 17:10:25 /css/app.css ......................................................................... ~ 0.38ms
  2026-04-04 17:10:26 /js/pwa.js .......................................................................... ~ 27.54ms
  2026-04-04 17:10:26 /images/logo-sidebar.png ............................................................ ~ 55.08ms
  2026-04-04 17:10:26 /manifest.json ....................................................................... ~ 0.33ms
  2026-04-04 17:10:55 /internal/tickets ........................................................................ ~ 1s
  2026-04-04 17:10:55 /css/app.css ............................................................................. ~ 1s
  2026-04-04 17:10:56 /images/logo-sidebar.png ............................................................ ~ 36.10ms
  2026-04-04 17:10:56 /js/pwa.js .......................................................................... ~ 57.46ms
  2026-04-04 17:10:56 /manifest.json ....................................................................... ~ 0.45ms
  2026-04-04 17:10:56 /internal/tickets .................................................................. ~ 505.87ms
  2026-04-04 17:10:57 /css/app.css ......................................................................... ~ 0.34ms
  2026-04-04 17:10:57 /images/logo-sidebar.png ............................................................. ~ 0.33ms
  2026-04-04 17:10:57 /js/pwa.js .......................................................................... ~ 22.48ms
  2026-04-04 17:10:57 /manifest.json ...................................................................... ~ 56.58ms
  2026-04-04 17:10:58 /internal/kyc ............................................................................ ~ 1s
  2026-04-04 17:10:58 /internal/reports ........................................................................ ~ 1s
  2026-04-04 17:10:59 /css/app.css ....................................................................... ~ 542.36ms
  2026-04-04 17:10:59 /images/logo-sidebar.png ............................................................. ~ 0.34ms
  2026-04-04 17:10:59 /js/pwa.js .......................................................................... ~ 21.19ms
  2026-04-04 17:10:59 /manifest.json ...................................................................... ~ 51.80ms
  2026-04-04 17:11:02 /internal/kyc ...................................................................... ~ 507.87ms
  2026-04-04 17:11:03 /css/app.css ......................................................................... ~ 0.46ms
  2026-04-04 17:11:03 /images/logo-sidebar.png ............................................................ ~ 31.85ms
  2026-04-04 17:11:03 /js/pwa.js .......................................................................... ~ 51.64ms
  2026-04-04 17:11:03 /manifest.json ....................................................................... ~ 0.20ms
  2026-04-04 20:51:25 /internal/shipments ................................................................ ~ 504.99ms
  2026-04-04 20:51:26 /login ............................................................................. ~ 507.50ms
  2026-04-04 20:51:26 /css/app.css ......................................................................... ~ 0.96ms
  2026-04-04 20:51:26 /images/logo-auth.png ................................................................ ~ 1.50ms
  2026-04-04 20:51:26 /js/pwa.js .......................................................................... ~ 14.43ms
  2026-04-04 20:51:26 /manifest.json ....................................................................... ~ 0.97ms
  2026-04-04 20:51:29 /admin/login ............................................................................. ~ 3s
  2026-04-04 20:51:32 /admin/login ............................................................................. ~ 1s
  2026-04-04 20:51:32 /css/app.css ............................................................................. ~ 2s
  2026-04-04 20:51:34 /js/pwa.js ......................................................................... ~ 227.63ms
  2026-04-04 20:51:34 /manifest.json ..................................................................... ~ 505.36ms
  2026-04-04 20:51:40 /admin/login ............................................................................. ~ 2s
  2026-04-04 20:51:43 /admin ................................................................................... ~ 3s
  2026-04-04 20:51:47 /admin/login ............................................................................. ~ 1s
  2026-04-04 20:51:47 /admin/login ............................................................................. ~ 5s
  2026-04-04 20:51:52 /favicon.ico ....................................................................... ~ 551.70ms
  2026-04-04 20:51:54 /admin/login ......................................................................... ~ 0.34ms
  2026-04-04 20:51:54 /admin ............................................................................. ~ 508.19ms
  2026-04-04 20:51:56 /admin/login ......................................................................... ~ 1.83ms
  2026-04-04 20:51:57 /admin ............................................................................. ~ 510.32ms
  2026-04-04 20:51:57 /css/app.css ......................................................................... ~ 0.52ms
  2026-04-04 20:51:57 /js/pwa.js ........................................................................... ~ 9.51ms
  2026-04-04 20:51:57 /images/logo-sidebar.png ............................................................. ~ 0.43ms
  2026-04-04 20:52:03 /admin ............................................................................. ~ 520.17ms
  2026-04-04 20:52:03 /css/app.css ....................................................................... ~ 563.51ms
  2026-04-04 20:52:03 /images/logo-sidebar.png ............................................................. ~ 3.85ms
  2026-04-04 20:52:03 /js/pwa.js .......................................................................... ~ 40.23ms
  2026-04-04 20:52:07 /admin/tenant-context .................................................................... ~ 1s
  2026-04-04 20:52:08 /css/app.css ............................................................................. ~ 1s
  2026-04-04 20:52:08 /js/pwa.js ........................................................................... ~ 0.38ms
  2026-04-04 20:52:08 /images/logo-sidebar.png ............................................................ ~ 33.41ms
  2026-04-04 20:52:08 /manifest.json ....................................................................... ~ 0.54ms
  2026-04-04 20:52:11 /internal/accounts ....................................................................... ~ 1s
  2026-04-04 20:52:12 /css/app.css ....................................................................... ~ 592.64ms
  2026-04-04 20:52:12 /js/pwa.js ......................................................................... ~ 145.83ms
  2026-04-04 20:52:12 /images/logo-sidebar.png ........................................................... ~ 295.01ms
  2026-04-04 20:52:12 /manifest.json ....................................................................... ~ 1.06ms
  2026-04-04 20:52:16 /internal/billing ........................................................................ ~ 3s
  2026-04-04 20:52:20 /css/app.css ......................................................................... ~ 0.96ms
  2026-04-04 20:52:20 /js/pwa.js ........................................................................... ~ 2.36ms
  2026-04-04 20:52:20 /images/logo-sidebar.png ........................................................... ~ 204.57ms
  2026-04-04 20:52:20 /manifest.json ..................................................................... ~ 325.10ms
  2026-04-04 20:52:22 /internal/carriers ....................................................................... ~ 6s
  2026-04-04 20:52:22 /internal/carriers ....................................................................... ~ 8s
  2026-04-04 20:52:29 /internal/carriers ....................................................................... ~ 4s
  2026-04-04 20:52:32 /internal/carriers ....................................................................... ~ 4s
  2026-04-04 20:52:34 /css/app.css ............................................................................. ~ 2s
  2026-04-04 20:52:36 /js/pwa.js ......................................................................... ~ 199.75ms
  2026-04-04 20:52:36 /images/logo-sidebar.png ........................................................... ~ 351.25ms
  2026-04-04 20:52:36 /manifest.json ..................................................................... ~ 468.11ms
  2026-04-04 20:52:57 /internal/integrations ................................................................... ~ 1s
  2026-04-04 20:52:59 /css/app.css ......................................................................... ~ 0.48ms
  2026-04-04 20:52:59 /js/pwa.js .......................................................................... ~ 36.37ms
  2026-04-04 20:52:59 /images/logo-sidebar.png ............................................................ ~ 73.87ms
  2026-04-04 20:52:59 /manifest.json ....................................................................... ~ 0.24ms
  2026-04-04 20:53:03 /internal/feature-flags .................................................................. ~ 4s
  2026-04-04 20:53:07 /internal/api-keys ....................................................................... ~ 7s
  2026-04-04 20:53:07 /css/app.css ............................................................................. ~ 7s
  2026-04-04 20:53:15 /images/logo-sidebar.png ............................................................. ~ 2.07ms
  2026-04-04 20:53:15 /js/pwa.js ......................................................................... ~ 129.22ms
  2026-04-04 20:53:15 /manifest.json ..................................................................... ~ 312.74ms
  2026-04-04 20:53:27 /internal/feature-flags ............................................................ ~ 511.51ms
  2026-04-04 20:53:27 /css/app.css ......................................................................... ~ 0.24ms
  2026-04-04 20:53:27 /js/pwa.js .......................................................................... ~ 29.77ms
  2026-04-04 20:53:27 /images/logo-sidebar.png ............................................................ ~ 59.06ms
  2026-04-04 20:53:27 /manifest.json ...................................................................... ~ 78.82ms
  2026-04-04 20:53:29 /internal/api-keys ....................................................................... ~ 1s
  2026-04-04 20:53:29 /css/app.css ....................................................................... ~ 540.72ms
  2026-04-04 20:53:30 /js/pwa.js ........................................................................... ~ 0.29ms
  2026-04-04 20:53:30 /manifest.json ...................................................................... ~ 36.14ms
  2026-04-04 20:53:30 /images/logo-sidebar.png ............................................................ ~ 66.61ms
  2026-04-04 20:53:32 /internal/api-keys ................................................................. ~ 503.53ms
  2026-04-04 20:53:33 /css/app.css ......................................................................... ~ 0.36ms
  2026-04-04 20:53:33 /images/logo-sidebar.png ............................................................ ~ 27.64ms
  2026-04-04 20:53:33 /js/pwa.js .......................................................................... ~ 49.02ms
  2026-04-04 20:53:33 /manifest.json ...................................................................... ~ 76.08ms
  2026-04-04 20:53:51 /internal/webhooks ....................................................................... ~ 1s
