
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-04-04 16:25:26 /admin/login ......................................................................... ~ 0.20ms
  2026-04-04 16:25:26 /login ............................................................................. ~ 534.77ms
  2026-04-04 16:25:26 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:25:27 /internal .......................................................................... ~ 511.93ms
  2026-04-04 16:25:27 /manifest.json ........................................................................... ~ 1s
  2026-04-04 16:25:27 /css/app.css ....................................................................... ~ 573.53ms
  2026-04-04 16:25:28 /images/logo-sidebar.png ............................................................ ~ 30.03ms
  2026-04-04 16:25:28 /js/pwa.js .......................................................................... ~ 49.41ms
  2026-04-04 16:25:28 /sw.js ............................................................................... ~ 0.28ms
  2026-04-04 16:25:28 / .................................................................................... ~ 0.36ms
  2026-04-04 16:25:28 /offline ........................................................................... ~ 549.24ms
  2026-04-04 16:25:28 /css/app.css ....................................................................... ~ 540.80ms
  2026-04-04 16:25:28 /internal/reports ................................................................... ~ 29.23ms
  2026-04-04 16:25:28 /css/app.css ........................................................................ ~ 54.26ms
  2026-04-04 16:25:28 /images/logo-sidebar.png ............................................................ ~ 81.77ms
  2026-04-04 16:25:29 /js/pwa.js .......................................................................... ~ 47.92ms
  2026-04-04 16:25:29 /sw.js ............................................................................... ~ 0.26ms
  2026-04-04 16:25:29 / .................................................................................. ~ 506.84ms
  2026-04-04 16:25:29 /offline ........................................................................... ~ 543.56ms
  2026-04-04 16:25:29 /css/app.css ........................................................................ ~ 32.58ms
  2026-04-04 16:25:29 /manifest.json ...................................................................... ~ 31.26ms
  2026-04-04 16:25:29 ..................................................................................... ~ 61.58ms
  2026-04-04 16:25:29 ..................................................................................... ~ 98.94ms
  2026-04-04 16:25:29 /b2b/login ......................................................................... ~ 512.17ms
  2026-04-04 16:25:30 /css/app.css ......................................................................... ~ 0.30ms
  2026-04-04 16:25:30 /js/pwa.js .......................................................................... ~ 28.81ms
  2026-04-04 16:25:30 /sw.js ............................................................................... ~ 0.64ms
  2026-04-04 16:25:30 / .................................................................................... ~ 0.37ms
  2026-04-04 16:25:30 /offline ........................................................................... ~ 545.22ms
  2026-04-04 16:25:31 /b2b/login ........................................................................... ~ 0.47ms
  2026-04-04 16:25:31 /login ............................................................................. ~ 546.79ms
  2026-04-04 16:25:31 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:25:32 /b2b/dashboard ..................................................................... ~ 511.96ms
  2026-04-04 16:25:31 /manifest.json ........................................................................... ~ 1s
  2026-04-04 16:25:32 /css/app.css ....................................................................... ~ 577.29ms
  2026-04-04 16:25:32 /images/logo-sidebar.png ............................................................ ~ 28.11ms
  2026-04-04 16:25:32 /js/pwa.js .......................................................................... ~ 48.37ms
  2026-04-04 16:25:32 /sw.js ............................................................................... ~ 0.19ms
  2026-04-04 16:25:32 / .................................................................................... ~ 0.30ms
  2026-04-04 16:25:32 /offline ........................................................................... ~ 540.89ms
  2026-04-04 16:25:33 /b2b/dashboard ..................................................................... ~ 531.41ms
  2026-04-04 16:25:32 /css/app.css ....................................................................... ~ 596.02ms
  2026-04-04 16:25:33 /internal/reports .................................................................. ~ 539.42ms
  2026-04-04 16:25:33 /manifest.json ..................................................................... ~ 590.43ms
  2026-04-04 16:25:33 .................................................................................... ~ 563.60ms
  2026-04-04 16:25:40 / .................................................................................... ~ 0.95ms
  2026-04-04 16:25:41 /login ............................................................................. ~ 512.19ms
  2026-04-04 16:25:41 / .................................................................................... ~ 0.28ms
  2026-04-04 16:25:41 /login ............................................................................. ~ 508.19ms
  2026-04-04 16:25:44 /admin/login ......................................................................... ~ 0.70ms
  2026-04-04 16:25:44 /css/app.css ......................................................................... ~ 0.32ms
  2026-04-04 16:25:44 /js/pwa.js .......................................................................... ~ 28.24ms
  2026-04-04 16:25:45 /sw.js ............................................................................... ~ 1.11ms
  2026-04-04 16:25:45 / .................................................................................. ~ 515.90ms
  2026-04-04 16:25:45 /offline ........................................................................... ~ 553.27ms
  2026-04-04 16:25:45 /admin/login ....................................................................... ~ 531.80ms
  2026-04-04 16:25:45 /login ............................................................................. ~ 530.16ms
  2026-04-04 16:25:45 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:25:46 /internal .......................................................................... ~ 504.78ms
  2026-04-04 16:25:46 /manifest.json ..................................................................... ~ 600.43ms
  2026-04-04 16:25:46 /css/app.css ....................................................................... ~ 560.93ms
  2026-04-04 16:25:46 /images/logo-sidebar.png ............................................................ ~ 26.82ms
  2026-04-04 16:25:46 /js/pwa.js .......................................................................... ~ 47.70ms
  2026-04-04 16:25:46 /sw.js ............................................................................... ~ 0.20ms
  2026-04-04 16:25:46 / .................................................................................. ~ 507.03ms
  2026-04-04 16:25:46 /offline ........................................................................... ~ 546.52ms
  2026-04-04 16:25:47 /css/app.css ........................................................................ ~ 34.35ms
  2026-04-04 16:25:47 /internal/reports .................................................................. ~ 546.56ms
  2026-04-04 16:25:47 /css/app.css ....................................................................... ~ 573.58ms
  2026-04-04 16:25:47 /images/logo-sidebar.png ........................................................... ~ 602.98ms
